2021-11-07 06:25:54.181598: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublas.so.10
Episode: 155, Reward: 7.257, Avg Reward :-86.257, Epsilon:0.4575
Episode: 156, Reward: -54.801, Avg Reward :-85.316, Epsilon:0.4552
Episode: 157, Reward: -86.755, Avg Reward :-83.787, Epsilon:0.4529
Episode: 158, Reward: -237.967, Avg Reward :-84.964, Epsilon:0.4507
Episode: 159, Reward: 26.009, Avg Reward :-83.405, Epsilon:0.4484
Episode: 160, Reward: -61.506, Avg Reward :-82.957, Epsilon:0.4462
Episode: 161, Reward: -99.202, Avg Reward :-82.939, Epsilon:0.4440
Episode: 162, Reward: -33.911, Avg Reward :-81.716, Epsilon:0.4417
Episode: 163, Reward: -2.066, Avg Reward :-80.171, Epsilon:0.4395
Episode: 164, Reward: 21.585, Avg Reward :-77.356, Epsilon:0.4373
Episode: 165, Reward: -114.252, Avg Reward :-76.564, Epsilon:0.4351
Episode: 166, Reward: -99.756, Avg Reward :-76.118, Epsilon:0.4330
Episode: 167, Reward: -101.354, Avg Reward :-76.095, Epsilon:0.4308
Episode: 168, Reward: -3.832, Avg Reward :-75.598, Epsilon:0.4286
Episode: 169, Reward: -72.276, Avg Reward :-74.354, Epsilon:0.4265
Episode: 170, Reward: 58.540, Avg Reward :-72.950, Epsilon:0.4244
Episode: 171, Reward: -104.607, Avg Reward :-71.715, Epsilon:0.4223
Episode: 172, Reward: -54.507, Avg Reward :-71.542, Epsilon:0.4201
Episode: 173, Reward: -112.488, Avg Reward :-72.512, Epsilon:0.4180
Episode: 174, Reward: -89.033, Avg Reward :-71.816, Epsilon:0.4159
Episode: 175, Reward: -25.491, Avg Reward :-69.641, Epsilon:0.4139
Episode: 176, Reward: -106.721, Avg Reward :-68.392, Epsilon:0.4118
Episode: 177, Reward: 27.693, Avg Reward :-66.919, Epsilon:0.4097
Episode: 178, Reward: -121.846, Avg Reward :-66.440, Epsilon:0.4077
Episode: 179, Reward: -65.975, Avg Reward :-66.276, Epsilon:0.4057
Episode: 180, Reward: -118.372, Avg Reward :-66.977, Epsilon:0.4036
Episode: 181, Reward: 19.571, Avg Reward :-65.350, Epsilon:0.4016
Episode: 182, Reward: 148.059, Avg Reward :-62.215, Epsilon:0.3996
Episode: 183, Reward: -1.566, Avg Reward :-61.323, Epsilon:0.3976
Episode: 184, Reward: -2.973, Avg Reward :-60.570, Epsilon:0.3956
Episode: 185, Reward: -39.721, Avg Reward :-60.763, Epsilon:0.3936
Episode: 186, Reward: 0.507, Avg Reward :-58.141, Epsilon:0.3917
Episode: 187, Reward: -0.060, Avg Reward :-57.289, Epsilon:0.3897
Episode: 188, Reward: -157.952, Avg Reward :-57.906, Epsilon:0.3878
Episode: 189, Reward: -110.865, Avg Reward :-59.271, Epsilon:0.3858
Episode: 190, Reward: 59.190, Avg Reward :-58.403, Epsilon:0.3839
Episode: 191, Reward: -155.575, Avg Reward :-59.635, Epsilon:0.3820
Episode: 192, Reward: 43.088, Avg Reward :-59.594, Epsilon:0.3801
Episode: 193, Reward: -56.613, Avg Reward :-59.439, Epsilon:0.3782
Episode: 194, Reward: -93.404, Avg Reward :-59.533, Epsilon:0.3763
Episode: 195, Reward: -41.634, Avg Reward :-59.560, Epsilon:0.3744
Episode: 196, Reward: -118.646, Avg Reward :-60.189, Epsilon:0.3725
Episode: 197, Reward: -54.708, Avg Reward :-60.108, Epsilon:0.3707
Episode: 198, Reward: -105.342, Avg Reward :-60.076, Epsilon:0.3688
Episode: 199, Reward: -55.854, Avg Reward :-60.255, Epsilon:0.3670
Episode: 200, Reward: 31.621, Avg Reward :-57.879, Epsilon:0.3651
Episode: 201, Reward: 4.077, Avg Reward :-58.410, Epsilon:0.3633
Episode: 202, Reward: -3.071, Avg Reward :-58.345, Epsilon:0.3615
Episode: 203, Reward: -16.770, Avg Reward :-58.817, Epsilon:0.3597
Episode: 204, Reward: 5.650, Avg Reward :-58.861, Epsilon:0.3579
Episode: 205, Reward: -30.962, Avg Reward :-59.215, Epsilon:0.3561
Episode: 206, Reward: -45.006, Avg Reward :-59.144, Epsilon:0.3543
Episode: 207, Reward: -0.521, Avg Reward :-58.055, Epsilon:0.3525
Episode: 208, Reward: -23.832, Avg Reward :-57.554, Epsilon:0.3508
